id_reclamo,texto
RC-4001,"Compré una lavadora en una tienda del Mall del Sur y a la semana se malogró, no quieren aplicarme la garantía pese a que tengo boleta y caja."
RC-4002,"Una agencia de viajes me canceló el paquete a Cusco un día antes del vuelo y se niega a devolverme el dinero, ya pasaron 45 días."
RC-4003,"Un curso online de marketing digital prometía clases en vivo pero solo dan videos pregrabados, exijo devolución porque no cumple lo ofrecido."
RC-4004,"Pedí comida por una app de delivery, llegó fría y descompuesta, abrí el reclamo en la app y solo me ofrecen S/5 de cupón."
RC-4005,"La tienda online me envió un producto distinto al que pedí (un celular gama baja en lugar del modelo de la foto) y no responde mis mensajes."
RC-4006,"Llevé mi auto al concesionario por un mantenimiento de S/800 y al día siguiente se prendió la luz del motor, no quieren reconocer el daño."
RC-4007,"Una marca de zapatillas se descosió a los 15 días de uso, la tienda dice que es desgaste normal y no aplica garantía, llevo el caso a Indecopi."
RC-4008,"Banco me cobró doble una transferencia interbancaria desde noviembre, ya reclamé por la app y por la oficina, no resuelven."
RC-4009,"Una clínica privada me hizo firmar un consentimiento de tratamiento pero la factura final fue tres veces más que el presupuesto inicial."
RC-4010,"Compré un electrodoméstico por catálogo y la tienda no respeta el plazo de entrega de 5 días hábiles, ya pasaron 3 semanas."
