id_reclamo,texto
RV-5001,"Semáforo malogrado en Av. Salaverry con Brasil desde hace 4 días, riesgo alto para peatones."
RV-5002,"Movistar me cobra una línea cancelada hace 3 meses, no responden al 104."
RV-5003,"Tienda no respeta garantía de cocina a gas comprada hace 20 días, ya quemó dos hornillas."
RV-5004,"Basura acumulada en parque de Lince hace 8 días, vecinos preocupados por contaminación."
RV-5005,"Internet de Claro se cae diariamente entre 7 y 10 pm, 5 reportes sin solución."
RV-5006,"Poste eléctrico inclinado en Jr. Junín 456, cableado expuesto, riesgo de electrocución."
RV-5007,"Aerolínea cobró sobrepeso doble sin avisar al momento del check-in, exijo reembolso de S/180."
RV-5008,"Hueco grande en Av. Javier Prado cuadra 8, ya hubo 3 accidentes esta semana."
RV-5009,"Bitel suspendió mi línea pese a estar al día con los pagos, llevo 4 días sin servicio."
RV-5010,"Hospital municipal niega atención a paciente con SIS pese a tener cita programada."
RV-5011,"Compré curso online que prometía certificación oficial pero no entregan el documento."
RV-5012,"Alumbrado público apagado en toda la cuadra de Pueblo Libre hace 2 semanas."
