id_reclamo,texto
RM-2001,"El semáforo de la Av. Universitaria con cruce de Bolognesi lleva tres días apagado, ya hubo dos choques esta semana y los choferes no respetan."
RM-2002,"En el parque San Martín de mi cuadra hay basura acumulada desde el sábado, los recolectores no han pasado y se acerca la lluvia."
RM-2003,"Un poste de alumbrado público en el Jr. Lima 234 está a punto de caerse, el cableado está colgando muy bajo y da miedo pasar de noche."
RM-2004,"La pista de la Av. Brasil cuadra 12 tiene un hueco enorme desde hace una semana, ya se reventaron varias llantas, necesitamos que tapen el bache urgente."
RM-2005,"Hay un grifo público roto en la esquina de Tacna con Cusco, el agua se desperdicia desde el lunes pasado y nadie viene a repararlo."
RM-2006,"Vecinos del Asentamiento Humano Las Lomas reportamos que el camión de basura no pasa hace dos semanas y la acumulación está atrayendo roedores."
RM-2007,"En la avenida Tomás Marsano un árbol cayó por el viento el domingo y aún sigue bloqueando media pista, los carros tienen que esquivarlo."
RM-2008,"Las pistas de mi urbanización en Surco no tienen señalización vial desde la última repavimentación, hay riesgo de accidentes."
RM-2009,"El paradero de buses frente al hospital tiene la estructura oxidada y el techo se cayó, los pacientes esperan bajo el sol."
RM-2010,"Solicitamos poda de árboles en la Av. Arequipa cuadra 25, las ramas tapan los semáforos y los conductores no los pueden ver."
