id_reclamo,texto
RT-3001,"Movistar me sigue cobrando un plan que cancelé hace dos meses, ya llamé cuatro veces al 104 y nadie soluciona, solo me toman datos."
RT-3002,"El internet de Claro Hogar se cae todas las noches entre 8 y 11 pm desde hace dos semanas, ya reporté tres veces y no arreglan."
RT-3003,"Entel me cobra una línea adicional que nunca contraté, en mi recibo aparecen dos números y solo uso uno, exijo devolución."
RT-3004,"Movistar TV no me da señal en HD desde el 5 del mes pasado, pago el plan completo pero los canales se ven pixelados."
RT-3005,"Bitel cortó mi servicio de internet sin previo aviso a pesar de que pagué el recibo a tiempo, tengo el voucher como prueba."
RT-3006,"Claro me hizo migrar a un plan más caro diciendo que era una mejora gratuita y ahora me cobran S/40 adicionales al mes."
RT-3007,"Movistar Fibra no llega a mi distrito según el técnico que vino, pero igual me vendieron el plan, exijo cancelación sin penalidad."
RT-3008,"Tengo doble cobro de Entel en mi tarjeta de crédito desde marzo, ya envié los reclamos por su web pero no responden."
RT-3009,"Después de portar mi número de Claro a Bitel perdí todos los mensajes y la operadora no me da solución desde hace 10 días."
RT-3010,"El call center de Movistar me cuelga sistemáticamente cuando pregunto por el reclamo 287456, llevo 6 intentos."
