id_reclamo,fecha_reclamo,detalle_reclamo
1,2024-03-12,Corte intempestivo del servicio de agua potable sin previo aviso en la zona. Nos afecta directamente a todos los vecinos del sector de forma muy grave.
2,2024-05-18,Cobro indebido registrado en el estado de cuenta de este periodo. No se están aplicando los descuentos por el subsidio estatal correspondiente a nuestra zona.
3,2024-01-24,El personal técnico que acudió a revisar la caja del agua fue sumamente grosero y prepotente con mi madre anciana. Presento esta queja formal contra ellos.
4,2024-02-05,La presión del agua es extremadamente baja, apenas sale un hilo por el caño principal del primer piso. Es imposible llenar los tanques elevados así.
5,2024-06-11,El expediente técnico de cambio de titularidad sigue estancado en sus oficinas desde el año pasado. Es una burla total el tiempo de espera brindado.
6,2024-04-30,Llamé a la central telefónica de emergencias y la operadora me colgó la llamada de manera muy maleducada tras dejarme esperando más de veinte minutos.
7,2024-01-15,Maquinaria pesada de la empresa concesionaria dañó el portón principal de mi cochera mientras realizaban maniobras de mantenimiento en la vía pública esta mañana.
8,2024-02-28,"La cuadrilla que reparó la tubería matriz dejó toda la vereda de mi fachada completamente rota y con desmontes abandonados que impiden el paso seguro."
9,2024-05-02,Se ha roto la tapa de fierro de la caja de agua que está en la vereda pública y representa un riesgo grave de caída para los transeúntes.
10,2024-03-22,Nuevamente nos han cortado el suministro de agua potable sin emitir ningún comunicado oficial. Por favor solucionen este inconveniente técnico a la brevedad posible.
10,2024-04-14,Reclamo duplicado intencional: Sigue saliendo el recibo con un cobro totalmente desproporcionado a pesar de la queja anterior.
11,2024-06-25,El agua sale con un color marrón oscuro muy extraño y un olor desagradable desde hace varias horas. Es un peligro evidente para la salud pública.
12,2024-01-08,Presenté un recurso de reconsideración hace más de un mes calendario por cobro excesivo y hasta el momento no recibo ninguna respuesta formal del caso.
13,2024-02-14,Facturación incorrecta y desproporcionada en mi último recibo de agua potable. Mi casa estuvo deshabitada todo el mes por viaje, es imposible ese consumo.
14,2024-05-20,Hay una fuga de agua evidente al costado de mi medidor que está inundando toda la acera peatonal y desperdiciando el recurso vital de forma continua.
15,2024-03-05,Durante los trabajos de excavación en la calle principal terminaron rompiendo la conexión de mi tubería interna de desagüe. Exijo que asuman la reparación inmediata.
16,2024-06-19,Ninguno de los asesores del canal virtual sabe dar una respuesta clara sobre mi estado de cuenta actual. Solo se limitan a pasear al usuario.
17,2024-01-29,Dejaron una zanja abierta frente a mi domicilio tras supuestamente terminar la reparación del medidor. Es un peligro inminente para los niños del barrio.
18,2024-04-02,El recibo de este mes me vino con un monto sumamente excesivo que duplica mi consumo promedio mensual normal. Exijo una auditoría técnica del medidor.
19,2024-05-15,Pésima atención presencial en la oficina principal de reclamos. El encargado se negó a recibir mi documentación de sustento sin dar ninguna justificación válida.
20,2024-02-22,Llevamos más de veinticuatro horas sin una sola gota de agua en las tuberías principales. La cisterna de contingencia no ha pasado por nuestra calle.
21,2024-03-10,Incumplimiento total de los plazos legales establecidos por el regulador para dar solución a mi disconformidad con la lectura del medidor de agua potable.
22,2024-01-18,No tengo agua desde hace tres días en toda la cuadra. Es una situación insoportable porque no podemos cocinar ni lavar los servicios básicos. Exijo solución inmediata.
23,2024-05-09,Reitero mi solicitud de inspección técnica ingresada hace tres semanas mediante la mesa de partes virtual. El problema de baja presión continúa afectándome diariamente.
24,2024-06-04,Me están cobrando una tarifa de mantenimiento que nunca antes se había facturado en mi historial de usuario. Solicito la corrección inmediata del recibo actual.
25,2024-02-12,Corte intempestivo del servicio de agua potable sin previo aviso en la zona. Nos afecta directamente a todos los vecinos del sector de forma muy grave.
25,2024-03-30,Reclamo duplicado intencional: La fuga de agua reportada en la vereda sigue sin ser atendida por los técnicos de emergencia.
26,2024-04-18,El personal técnico que acudió a revisar la caja del agua fue sumamente grosero y prepotente con mi madre anciana. Presento esta queja formal contra ellos.
27,2024-01-02,La presión del agua es extremadamente baja, apenas sale un hilo por el caño principal del primer piso. Es imposible llenar los tanques elevados así.
28,2024-05-27,El expediente técnico de cambio de titularidad sigue estancado en sus oficinas desde el año pasado. Es una burla total el tiempo de espera brindado.
29,2024-06-15,Llamé a la central telefónica de emergencias y la operadora me colgó la llamada de manera muy maleducada tras dejarme esperando más de veinte minutos.
30,2024-03-01,Maquinaria pesada de la empresa concesionaria dañó el portón principal de mi cochera mientras realizaban maniobras de mantenimiento en la vía pública esta mañana.
31,2024-02-19,"La cuadrilla que reparó la tubería matriz dejó toda la vereda de mi fachada completamente rota y con desmontes abandonados que impiden el paso seguro."
32,2024-04-05,Se ha roto la tapa de fierro de la caja de agua que está en la vereda pública y representa un riesgo grave de caída para los transeúntes.
33,2024-01-22,Nuevamente nos han cortado el suministro de agua potable sin emitir ningún comunicado oficial. Por favor solucionen este inconveniente técnico a la brevedad posible.
34,2024-06-22,El agua sale con un color marrón oscuro muy extraño y un olor desagradable desde hace varias horas. Es un peligro evidente para la salud pública.
35,2024-05-11,Presenté un recurso de reconsideración hace más de un mes calendario por cobro excesivo y hasta el momento no recibo ninguna respuesta formal del caso.
36,2024-03-14,Facturación incorrecta y desproporcionada en mi último recibo de agua potable. Mi casa estuvo deshabitada todo el mes por viaje, es imposible ese consumo.
37,2024-02-25,Hay una fuga de agua evidente al costado de mi medidor que está inundando toda la acera peatonal y desperdiciando el recurso vital de forma continua.
38,2024-01-09,Durante los trabajos de excavación en la calle principal terminaron rompiendo la conexión de mi tubería interna de desagüe. Exijo que asuman la reparación inmediata.
39,2024-04-24,Ninguno de los asesores del canal virtual sabe dar una respuesta clara sobre mi estado de cuenta actual. Solo se limitan a pasear al usuario.
40,2024-06-08,Dejaron una zanja abierta frente a mi domicilio tras supuestamente terminar la reparación del medidor. Es un peligro inminente para los niños del barrio.
41,2024-03-28,El recibo de este mes me vino con un monto sumamente excesivo que duplica mi consumo promedio mensual normal. Exijo una auditoría técnica del medidor.
42,2024-02-02,Pésima atención presencial en la oficina principal de reclamos. El encargado se negó a recibir mi documentación de sustento sin dar ninguna justificación válida.
43,2024-05-04,Llevamos más de veinticuatro horas sin una sola gota de agua en las tuberías principales. La cisterna de contingencia no ha pasado por nuestra calle.
44,2024-01-31,Incumplimiento total de los plazos legales establecidos por el regulador para dar solución a mi disconformidad con la lectura del medidor de agua potable.
45,2024-06-30,No tengo agua desde hace tres días en toda la cuadra. Es una situación insoportable porque no podemos cocinar ni lavar los servicios básicos. Exijo solución inmediata.
46,2024-04-12,Reitero mi solicitud de inspección técnica ingresada hace tres semanas mediante la mesa de partes virtual. El problema de baja presión continúa afectándome diariamente.
47,2024-02-16,Me están cobrando una tarifa de mantenimiento que nunca antes se había facturado en mi historial de usuario. Solicito la corrección inmediata del recibo actual.
48,2024-03-07,Corte intempestivo del servicio de agua potable sin previo aviso en la zona. Nos afecta directamente a todos los vecinos del sector de forma muy grave.
49,2024-01-11,El personal técnico que acudió a revisar la caja del agua fue sumamente grosero y prepotente con mi madre anciana. Presento esta queja formal contra ellos.
50,2024-05-23,La presión del agua es extremadamente baja, apenas sale un hilo por el caño principal del primer piso. Es imposible llenar los tanques elevados así.
51,2024-06-18,El expediente técnico de cambio de titularidad sigue estancado en sus oficinas desde el año pasado. Es una burla total el tiempo de espera brindado.
52,2024-04-20,Llamé a la central telefónica de emergencias y la operadora me colgó la llamada de manera muy maleducada tras dejarme esperando más de veinte minutos.
53,2024-02-20,Maquinaria pesada de la empresa concesionaria dañó el portón principal de mi cochera mientras realizaban maniobras de mantenimiento en la vía pública esta mañana.
54,2024-03-18,"La cuadrilla que reparó la tubería matriz dejó toda la vereda de mi fachada completamente rota y con desmontes abandonados que impiden el paso seguro."
55,2024-01-05,Se ha roto la tapa de fierro de la caja de agua que está en la vereda pública y representa un riesgo grave de caída para los transeúntes.
56,2024-05-29,Nuevamente nos han cortado el suministro de agua potable sin emitir ningún comunicado oficial. Por favor solucionen este inconveniente técnico a la brevedad posible.
57,2024-06-26,El agua sale con un color marrón oscuro muy extraño y un olor desagradable desde hace varias horas. Es un peligro evidente para la salud pública.
58,2024-04-08,Presenté un recurso de reconsideración hace más de un mes calendario por cobro excesivo y hasta el momento no recibo ninguna respuesta formal del caso.
59,2024-02-08,Facturación incorrecta y desproporcionada en mi último recibo de agua potable. Mi casa estuvo deshabitada todo el mes por viaje, es imposible ese consumo.
60,2024-03-02,Hay una fuga de agua evidente al costado de mi medidor que está inundando toda la acera peatonal y desperdiciando el recurso vital de forma continua.
61,2024-01-27,Durante los trabajos de excavación en la calle principal terminaron rompiendo la conexión de mi tubería interna de desagüe. Exijo que asuman la reparación inmediata.
62,2024-05-01,Ninguno de los asesores del canal virtual sabe dar una respuesta clara sobre mi estado de cuenta actual. Solo se limitan a pasear al usuario.
63,2024-06-13,Dejaron una zanja abierta frente a mi domicilio tras supuestamente terminar la reparación del medidor. Es un peligro inminente para los niños del barrio.
64,2024-04-25,El recibo de este mes me vino con un monto sumamente excesivo que duplica mi consumo promedio mensual normal. Exijo una auditoría técnica del medidor.
65,2024-02-23,Pésima atención presencial en la oficina principal de reclamos. El encargado se negó a recibir mi documentación de sustento sin dar ninguna justificación válida.
66,2024-03-15,Llevamos más de veinticuatro horas sin una sola gota de agua en las tuberías principales. La cisterna de contingencia no ha pasado por nuestra calle.
67,2024-01-14,Incumplimiento total de los plazos legales establecidos por el regulador para dar solución a mi disconformidad con la lectura del medidor de agua potable.
68,2024-05-07,No tengo agua desde hace tres días en toda la cuadra. Es una situación insoportable porque no podemos cocinar ni lavar los servicios básicos. Exijo solución inmediata.
69,2024-06-02,Reitero mi solicitud de inspección técnica ingresada hace tres semanas mediante la mesa de partes virtual. El problema de baja presión continúa afectándome diariamente.
70,2024-04-11,Me están cobrando una tarifa de mantenimiento que nunca antes se había facturado en mi historial de usuario. Solicito la corrección inmediata del recibo actual.
71,2024-02-11,Corte intempestivo del servicio de agua potable sin previo aviso en la zona. Nos afecta directamente a todos los vecinos del sector de forma muy grave.
72,2024-03-29,El personal técnico que acudió a revisar la caja del agua fue sumamente grosero y prepotente con mi madre anciana. Presento esta queja formal contra ellos.
73,2024-01-01,La presión del agua es extremadamente baja, apenas sale un hilo por el caño principal del primer piso. Es imposible llenar los tanques elevados así.
74,2024-05-25,El expediente técnico de cambio de titularidad sigue estancado en sus oficinas desde el año pasado. Es una burla total el tiempo de espera brindado.
75,2024-06-10,Llamé a la central telefónica de emergencias y la operadora me colgó la llamada de manera muy maleducada tras dejarme esperando más de veinte minutos.
76,2024-04-04,Maquinaria pesada de la empresa concesionaria dañó el portón principal de mi cochera mientras realizaban maniobras de mantenimiento en la vía pública esta mañana.
